HouseID,AreaSqFt,Bedrooms,HouseAge,DistanceFromCityKm,Price
1,2302,1,29,10.1,183836.17
2,1425,1,35,6.0,110331.03
3,2463,3,12,13.0,213185.68
4,1116,3,5,15.5,148845.41
5,1428,3,29,11.8,130929.96
6,1408,3,13,12.4,160981.53
7,2049,1,10,10.1,164101.19
8,1596,4,17,17.8,172131.99
9,1790,2,20,15.3,157096.0
10,1119,1,20,7.8,83230.79
11,2520,5,20,4.6,279372.33
12,2461,4,9,5.5,260170.59
13,1799,5,16,13.7,208271.62
14,1845,4,23,4.7,226571.35
15,1693,4,5,13.8,212275.7
16,963,2,27,11.1,84447.62
17,1870,4,33,5.3,197936.13
18,2580,1,7,12.6,210750.93
19,1196,3,7,6.0,149305.68
20,656,3,32,14.0,71308.54
21,867,3,32,11.4,79966.21
22,2211,2,34,17.2,169919.63
23,2531,1,20,9.3,182939.24
24,1393,3,15,2.0,188604.35
25,2589,1,5,13.4,222124.84
26,2207,5,8,3.2,274934.17
27,1775,2,16,10.0,167837.38
28,1083,5,12,13.1,162299.72
29,2025,3,28,16.3,167533.5
30,1157,2,4,6.7,146203.11
31,1121,5,14,1.1,202354.27
32,770,2,4,16.4,104826.87
33,795,5,15,5.7,158534.92
34,1754,2,30,5.1,155075.03
35,1483,2,6,2.6,171253.84
36,1517,4,29,15.7,134794.16
37,1988,1,3,7.8,177730.89
38,2414,1,15,4.3,208294.29
39,937,4,11,5.7,147477.03
40,2540,1,28,14.7,187014.81
