ApplicantID,Age,AnnualIncome,CreditScore,LoanAmount,Approved
1,54,42635,549,582496,0
2,32,30981,824,121262,0
3,36,74923,581,647347,0
4,59,27209,561,489589,0
5,57,90522,681,323432,1
6,41,53285,655,465011,0
7,40,81929,681,126066,0
8,60,95792,571,126819,0
9,53,56760,587,415962,0
10,36,70434,665,215409,0
11,55,61651,790,58203,1
12,56,61240,573,190814,0
13,27,94512,599,335577,0
14,34,66942,624,326807,0
15,37,28658,567,494151,0
16,23,22464,690,187174,0
17,37,43178,746,628478,1
18,56,23267,577,128898,0
19,30,93511,538,437151,0
20,30,78333,585,93860,0
21,23,68898,627,311650,0
22,43,95385,728,212060,1
23,36,43299,610,482322,1
24,42,75964,647,329766,0
25,27,72140,539,543554,0
26,50,67830,676,288651,1
27,33,74227,688,342136,1
28,38,68025,780,469093,1
29,55,65404,534,170944,0
30,37,45405,817,328361,0
31,59,78959,696,378914,1
32,53,37157,717,654596,0
33,23,79154,520,595175,0
34,55,109900,620,431913,0
35,42,103678,680,180679,1
36,40,88469,678,478231,1
37,39,94667,585,251158,0
38,45,44810,811,365568,1
39,21,61829,666,270392,0
40,58,101516,684,537575,1
41,34,89000,762,227934,1
42,39,89561,691,147923,1
43,36,62687,635,258802,0
44,23,54092,763,690967,1
45,25,81692,732,653634,0
46,45,86799,724,305836,1
47,21,35970,737,279471,0
48,54,82889,545,634482,0
49,28,81829,588,537213,0
50,56,100047,682,514071,1
51,53,77933,800,517574,1
52,51,80991,652,309249,0
53,38,90327,768,300867,1
54,25,59450,640,334913,0
55,55,32561,590,208157,0
56,30,50043,552,485020,0
57,55,83069,732,115290,1
58,47,73049,819,70480,1
59,57,71857,764,56182,1
60,40,73116,734,614365,0
