StudentID,EntranceMarks,AttendancePct,ProjectsCompleted,Backlogs,Admitted
1,63,76,1,2,0
2,38,69,2,3,0
3,94,53,4,4,1
4,85,82,4,0,1
5,89,53,3,1,0
6,83,65,1,3,0
7,83,62,3,2,0
8,95,46,5,4,1
9,79,59,5,0,0
10,40,93,0,1,0
11,37,84,1,1,0
12,49,81,1,3,0
13,82,55,4,4,0
14,49,94,1,2,0
15,38,64,4,3,0
16,60,49,4,1,0
17,73,99,5,4,0
18,40,67,4,3,0
19,43,77,5,2,1
20,88,97,3,0,1
21,81,85,3,1,1
22,69,84,4,3,0
23,69,65,1,0,0
24,92,60,3,4,0
25,83,66,0,3,0
26,58,76,1,2,0
27,78,62,4,2,0
28,59,50,1,3,0
29,65,89,3,3,0
30,37,50,2,1,0
31,66,64,5,4,0
32,79,72,5,4,0
33,93,62,2,2,1
34,59,65,0,4,0
35,58,57,1,3,0
36,71,51,1,2,0
37,57,64,0,4,0
38,40,48,4,2,0
39,51,85,3,0,0
40,71,75,3,3,0
41,41,61,3,0,0
42,86,76,0,4,0
43,41,54,1,4,0
44,45,60,0,4,0
45,63,94,4,3,0
46,91,64,4,3,0
47,42,84,5,0,0
48,61,85,1,2,0
49,55,60,1,4,0
50,35,71,3,4,0
51,39,59,2,2,0
52,93,49,5,1,1
53,60,72,0,4,0
54,54,62,1,0,1
55,74,83,5,4,0
56,91,52,3,2,1
57,69,77,4,3,0
58,40,72,5,2,0
59,38,50,1,4,0
60,37,93,5,2,0
