EmpID,SatisfactionScore,MonthlySalary,WeeklyHours,ExperienceYears,PromotionLast2Years,LeftCompany
1,0.81,47962,65,17,1,0
2,0.38,101720,62,16,0,1
3,0.55,67081,41,6,1,0
4,0.61,111846,60,18,0,0
5,0.48,67372,42,13,0,0
6,0.65,79165,38,7,1,0
7,0.61,82939,38,7,1,0
8,0.93,82424,66,4,0,0
9,0.69,56365,45,10,0,0
10,0.32,39871,64,4,0,1
11,0.77,91698,52,14,1,0
12,0.43,97255,44,13,0,0
13,0.62,42892,39,9,1,0
14,0.83,60018,35,10,1,0
15,0.67,111499,66,5,1,0
16,0.5,97340,69,13,1,1
17,0.88,116422,50,13,0,0
18,0.55,66704,65,13,1,1
19,0.83,110461,44,16,0,0
20,0.95,68515,41,15,0,0
21,0.58,119692,44,14,0,0
22,0.82,59737,56,13,0,0
23,0.87,94942,59,11,1,0
24,0.28,33968,50,10,0,1
25,0.57,37903,41,15,0,1
26,0.91,31028,55,2,1,0
27,0.56,57007,68,14,0,1
28,0.31,75140,50,16,0,1
29,0.72,85236,51,1,1,0
30,0.74,45706,39,15,1,0
31,0.47,80615,51,15,1,1
32,0.53,88335,41,8,1,0
33,0.67,116655,53,1,1,0
34,0.66,114889,38,16,1,0
35,0.42,71179,49,7,1,1
36,0.78,111400,43,4,0,0
37,0.57,100965,58,5,0,0
38,0.49,79460,46,7,0,0
39,0.89,72953,68,17,1,0
40,0.44,88156,53,11,0,1
41,0.3,123848,49,13,1,1
42,0.54,59663,69,4,1,1
43,0.8,59362,59,12,0,0
44,0.59,106205,70,11,0,1
45,0.71,85852,54,14,0,0
46,0.94,64893,66,4,0,0
47,0.64,75940,64,12,1,1
48,0.78,79379,41,16,1,0
49,0.45,115476,58,7,1,1
50,0.42,72537,41,12,1,0
51,0.45,41011,64,3,0,1
52,0.69,27799,38,11,0,1
53,0.82,51896,39,18,0,0
54,0.84,55539,56,5,0,0
55,0.97,42038,69,9,0,0
56,0.88,42275,35,12,0,0
57,0.26,59782,38,5,1,0
58,0.79,87422,63,12,0,0
59,0.41,105623,37,17,1,0
60,0.95,32972,65,13,1,0
61,0.61,83138,39,3,1,0
62,0.3,61046,70,11,1,1
63,0.64,84469,67,14,0,1
64,0.33,110814,70,7,1,1
65,0.42,69424,64,13,1,1
66,0.48,65963,51,12,0,0
67,0.6,36957,40,3,1,0
68,0.79,42054,70,2,1,0
69,0.55,112207,62,2,1,0
70,0.51,100748,67,7,0,1
71,0.41,39184,57,18,1,1
72,0.45,54643,62,18,0,1
73,0.73,115894,52,1,0,0
74,0.81,69541,57,1,0,0
75,0.66,77531,39,5,0,0
76,0.64,74308,61,15,1,0
77,0.48,67517,40,2,0,0
78,0.7,113338,40,9,1,0
79,0.6,82939,61,9,0,0
80,0.33,81349,42,10,1,0
