CustomerID,TenureMonths,MonthlyCharges,SupportCalls,ContractScore,Churn
1,40,445.34,6,10,1
2,27,1264.54,3,3,0
3,38,1349.99,0,8,0
4,23,713.39,8,4,0
5,46,530.64,0,7,1
6,10,3058.75,9,7,1
7,54,1226.45,6,1,1
8,22,2864.23,9,8,1
9,47,582.02,1,4,0
10,52,1976.68,6,5,0
11,29,1365.82,2,2,0
12,15,1997.94,3,6,1
13,19,1056.06,2,5,0
14,20,2732.69,1,3,1
15,64,1784.65,9,10,0
16,42,3065.59,5,3,1
17,61,1715.07,4,5,0
18,46,1923.48,4,8,0
19,8,1479.96,4,2,0
20,12,2268.03,8,7,1
21,71,3353.54,0,8,0
22,25,1328.89,7,9,0
23,8,1741.67,5,2,1
24,23,425.25,7,8,0
25,21,1464.47,4,7,0
26,44,2472.47,0,6,1
27,13,2085.48,6,5,1
28,20,1366.76,9,3,1
29,40,3396.63,6,3,1
30,11,1290.66,6,6,0
31,68,599.05,6,9,0
32,47,1288.37,3,6,0
33,63,914.42,2,3,1
34,13,1924.61,8,9,0
35,44,3104.46,9,3,1
36,20,819.19,9,3,1
37,6,1614.75,3,8,1
38,58,1048.81,3,5,0
39,61,3192.72,3,6,0
40,57,1777.38,4,7,0
41,54,3392.06,3,10,0
42,33,466.98,7,6,0
43,14,2576.48,8,2,1
44,21,1172.93,8,3,1
45,12,3328.52,3,8,1
46,4,1627.67,6,9,1
47,50,3482.48,5,4,1
48,13,2985.36,5,3,1
49,37,3235.67,7,3,1
50,61,1735.52,0,2,1
51,28,2971.88,8,10,1
52,15,2783.75,3,5,1
53,31,1643.44,9,8,1
54,64,2209.56,0,9,0
55,19,1232.07,0,10,0
56,54,899.4,1,9,0
57,9,3350.89,8,9,1
58,65,2073.29,6,8,1
59,50,3439.33,4,1,0
60,9,1403.37,1,10,0
61,43,726.91,5,9,0
62,23,2957.23,7,8,1
63,18,501.92,7,1,1
64,6,2831.55,0,6,1
65,66,1574.32,8,8,0
66,25,1215.55,0,6,0
67,48,1698.24,6,8,0
68,50,1384.92,2,8,0
69,48,3257.79,8,5,0
70,55,552.57,9,3,1
