CustomerID,Age,AnnualIncome,CreditScore,DebtRatio,EmploymentYears,DefaultRisk
1,42,38447,540,0.29,9,0
2,60,119065,718,0.19,14,0
3,24,120265,680,0.47,13,0
4,25,34835,826,0.34,16,0
5,65,45969,515,0.17,19,0
6,50,29561,564,0.12,24,0
7,45,75181,790,0.1,4,0
8,45,73760,727,0.57,18,0
9,45,77171,660,0.5,7,0
10,23,121426,595,0.4,12,1
11,29,59311,633,0.53,6,0
12,40,115961,751,0.21,4,0
13,50,47630,727,0.72,25,0
14,42,112535,677,0.53,17,0
15,41,136589,580,0.54,22,1
16,45,91683,614,0.16,6,0
17,37,128595,752,0.1,17,0
18,51,130337,782,0.16,2,1
19,47,118969,745,0.42,24,0
20,58,34666,564,0.7,20,1
21,51,114143,764,0.3,24,0
22,59,48850,566,0.36,1,1
23,55,45056,655,0.19,10,0
24,36,70353,765,0.65,2,0
25,62,97199,640,0.16,9,0
26,27,90873,828,0.19,18,0
27,64,106851,809,0.3,18,1
28,23,35646,523,0.69,24,1
29,63,52631,792,0.35,20,1
30,62,96509,648,0.49,9,0
31,65,78227,652,0.37,22,1
32,50,79476,747,0.38,10,0
33,42,137916,663,0.55,11,0
34,30,124701,689,0.41,3,0
35,51,41059,636,0.37,4,0
36,40,75351,815,0.35,5,0
37,58,119519,660,0.2,5,0
38,54,86186,755,0.64,15,1
39,47,91249,734,0.7,6,0
40,25,31624,644,0.4,20,0
41,40,95345,504,0.62,13,1
42,38,120355,687,0.57,11,1
43,25,99747,787,0.2,17,0
44,46,91093,730,0.57,8,0
45,61,114181,812,0.16,3,0
46,43,98116,687,0.56,6,0
47,47,90546,520,0.11,4,0
48,52,93069,733,0.18,16,0
49,61,66750,583,0.33,19,0
50,41,102820,672,0.4,16,0
51,58,64294,743,0.6,11,0
52,29,79596,798,0.28,23,0
53,62,28492,805,0.38,20,0
54,59,100711,616,0.54,18,1
55,55,107447,817,0.58,12,0
56,65,56745,516,0.45,22,1
57,23,82807,660,0.35,13,0
58,48,90774,813,0.67,23,0
59,30,92984,606,0.44,21,1
60,46,66124,588,0.37,17,0
61,44,113587,829,0.59,8,0
62,34,57311,642,0.44,7,0
63,41,126079,647,0.53,22,0
64,42,87888,678,0.44,25,0
65,40,40974,793,0.51,12,1
66,47,132266,676,0.69,25,0
67,24,62700,540,0.3,14,0
68,52,53047,603,0.61,8,1
69,39,42992,555,0.47,18,1
70,25,112796,771,0.22,7,1
71,48,68292,741,0.14,24,0
72,57,45701,708,0.5,15,0
73,34,124078,647,0.29,20,1
74,27,110498,793,0.23,23,0
75,24,47946,713,0.64,5,0
76,24,134602,703,0.58,5,0
77,40,139916,519,0.09,18,0
78,43,62298,732,0.71,17,0
79,30,136550,758,0.38,6,0
80,43,46298,734,0.49,22,0
81,43,128647,651,0.44,24,0
82,61,137216,827,0.65,13,0
83,27,77538,548,0.2,4,0
84,37,25895,633,0.33,14,0
85,43,64576,798,0.54,0,0
86,45,115802,620,0.12,3,0
87,32,78138,757,0.67,22,0
88,29,108717,651,0.32,7,0
89,30,87676,578,0.37,19,0
90,57,86712,775,0.59,6,0
